Genre,Model,coverage_score,faithfulness_score,keyword_overlap,similarity,contradiction_rate,abs_sentiment_shift,composite_score
Health,Gemini,0.6193941176470589,0.6377411764705883,0.14705882352941177,0.7843,0.041176470588235294,0.5590470588235295,0.5384273529411764
Health,GPT,0.6110058823529412,0.6190529411764706,0.16470588235294117,0.7818411764705883,0.05114117647058823,0.546735294117647,0.5308535294117647
Health,Grok,0.6623117647058824,0.5703117647058823,0.12941176470588237,0.7844235294117647,0.0748,0.43357058823529415,0.5255323529411765
Politics,Grok,0.6174125,0.64469375,0.15,0.846125,0.0860625,0.353775,0.5445465625
Politics,GPT,0.59531875,0.61789375,0.1375,0.84069375,0.05059375,0.4128875,0.5267890624999999
Politics,Gemini,0.6164625,0.59869375,0.13125,0.8246875,0.04375,0.4108,0.5252734375
Tech,Gemini,0.6393470588235294,0.6213235294117647,0.12941176470588237,0.8369470588235294,0.0637235294117647,0.2540117647058824,0.5411549999999999
Tech,GPT,0.6261176470588236,0.606635294117647,0.13529411764705884,0.8416529411764706,0.051417647058823526,0.19065294117647058,0.5333520588235293
Tech,Grok,0.6444705882352941,0.5877470588235294,0.12941176470588237,0.8215764705882354,0.0521,0.5066117647058823,0.5302405882352941
